benchmark,category,cost,series_id,npoints,nruns,nsegm,total_cost,time_sec
M4,Demographic,AIC,Q13050,735,22120,26,4440.2728923094755,0.0552257920026022
M4,Demographic,QRMSE,Q13050,735,7519,10,1054.9051662460884,0.0247024999989662
M4,Finance,AIC,Q18638,136,3083,4,1415.3597817375608,0.007014667000476
M4,Finance,QRMSE,Q18638,136,326,5,3061.214336812885,0.0011809160023403
M4,Finance,AIC,Q20501,116,2063,5,668.456673787331,0.0047546670029987
M4,Finance,QRMSE,Q20501,116,1138,3,402.7300522035821,0.0038115419993118
M4,Finance,AIC,Q19518,123,2116,6,1461.752101795201,0.0048866670003917
M4,Finance,QRMSE,Q19518,123,300,9,5924.467359502888,0.0010865840013138
M4,Finance,AIC,Q18530,117,2674,3,813.8372228116182,0.0060563750012079
M4,Finance,QRMSE,Q18530,117,819,2,302.09928463182246,0.0027601670008152
M4,Finance,AIC,Q22221,738,30032,17,5857.138754822921,0.0708736669985228
M4,Finance,QRMSE,Q22221,738,4253,10,2251.940091428095,0.0144422919984208
M4,Industry,AIC,Q15208,162,5477,5,1417.412366376704,0.0124571250016742
M4,Industry,QRMSE,Q15208,162,990,6,881.4869573561247,0.0033504169987281
M4,Industry,AIC,Q16120,122,2024,6,1059.571645599941,0.0046301250004034
M4,Industry,QRMSE,Q16120,122,592,6,999.438342343583,0.0020405830000527
M4,Industry,AIC,Q16176,118,769,1,1634.5698089182388,0.0017723329983709
M4,Industry,QRMSE,Q16176,118,214,1,3300.618855037342,0.0007711670004937
M4,Industry,AIC,Q14989,153,4371,4,1848.8015428324393,0.0098385419987607
M4,Industry,QRMSE,Q14989,153,385,7,7468.194702480394,0.0014023339972482
M4,Industry,AIC,Q15697,737,44306,10,7675.327004001715,0.1004533330014965
M4,Industry,QRMSE,Q15697,737,2183,7,5036.32996158667,0.0077090829981898
M4,Macro,AIC,Q1988,164,8341,1,2140.5476767315013,0.0185555829993973
M4,Macro,QRMSE,Q1988,164,308,1,2413.4957038274383,0.0011134170017612
M4,Macro,AIC,Q3770,126,2636,4,1716.9244751204476,0.0060287499982223
M4,Macro,QRMSE,Q3770,126,244,4,10088.054472976746,0.0008965829983935
M4,Macro,AIC,Q4038,118,1940,5,611.7736378992109,0.0043746250012191
M4,Macro,QRMSE,Q4038,118,1706,2,169.07698619414785,0.0055086249994928
M4,Macro,AIC,Q3957,126,1929,9,286.7184015767616,0.0044350409989419
M4,Macro,QRMSE,Q3957,126,1874,2,138.98034554896208,0.0061378749996947
M4,Macro,AIC,Q5109,866,22877,35,5666.621036620982,0.0583380409989331
M4,Macro,QRMSE,Q5109,866,7573,17,2514.4766166363297,0.0253679579982417
M4,Micro,AIC,Q11298,109,2882,2,1496.2857787288822,0.006437874999392
M4,Micro,QRMSE,Q11298,109,198,6,6846.047969990881,0.0007498330014641
M4,Micro,AIC,Q9597,106,2480,3,1158.3385701032291,0.005615709000267
M4,Micro,QRMSE,Q9597,106,192,1,1318.558348767892,0.0007205000001704
M4,Micro,AIC,Q9516,106,2743,3,1526.8630593258997,0.006253542000195
M4,Micro,QRMSE,Q9516,106,203,4,9299.152213920765,0.0007674170010432
M4,Micro,AIC,Q9551,106,2240,5,841.7818136080332,0.0051214160012023
M4,Micro,QRMSE,Q9551,106,743,4,622.101495431232,0.0025111670001933
M4,Micro,AIC,Q10414,737,44319,9,7705.157588816181,0.0999352079998061
M4,Micro,QRMSE,Q10414,737,1510,4,4081.828717123275,0.0052744999993592
M4,Other,AIC,Q23416,180,5402,7,1553.7848638043006,0.0123230829995009
M4,Other,QRMSE,Q23416,180,433,1,710.891262426207,0.0015104170015547
M4,Other,AIC,Q23410,177,6475,4,1676.8045600518412,0.0148134590017434
M4,Other,QRMSE,Q23410,177,402,3,2024.876934743918,0.0014214169968909
M4,Other,AIC,Q23524,122,4256,4,1073.521172992865,0.0096083329990506
M4,Other,QRMSE,Q23524,122,539,2,540.0314061685456,0.0018485000000509
M4,Other,AIC,Q23487,122,2549,7,599.1546854237574,0.0059348329996282
M4,Other,QRMSE,Q23487,122,1000,2,232.67897622907424,0.0033519579992571
M4,Other,AIC,Q23661,701,18293,28,4685.855570161173,0.0438142080020043
M4,Other,QRMSE,Q23661,701,4338,9,1765.669443638816,0.0148656669989577
M6,Finance,AIC,ABBV,253,9120,7,341.6892898281893,0.0206690000013622
M6,Finance,QRMSE,ABBV,253,1456,1,32.553370450994045,0.0048074580008687
M6,Finance,AIC,COP,265,9470,8,573.1335855747243,0.0217461250031192
M6,Finance,QRMSE,COP,265,934,1,36.63015772288998,0.0031646669995097
M6,Finance,AIC,EWG,253,6436,7,-651.7008875572408,0.0183211670009768
M6,Finance,QRMSE,EWG,253,3210,1,5.521892348587417,0.0103330419988196
M6,Finance,AIC,EWQ,253,8079,6,-417.95573293753006,0.0186427910011843
M6,Finance,QRMSE,EWQ,253,1840,1,6.299117305839375,0.0060389169993868
M6,Finance,AIC,EWZ,253,11039,5,-271.06305628852937,0.0245739169986336
M6,Finance,QRMSE,EWZ,253,687,1,5.50281374885368,0.0023565830015286
M6,Finance,AIC,HST,265,8620,8,-345.2988612184975,0.019641708000563
M6,Finance,QRMSE,HST,265,1147,1,5.033375522783864,0.0039649579994147
M6,Finance,AIC,PYPL,253,8882,6,213.33504255518156,0.0205292499995266
M6,Finance,QRMSE,PYPL,253,1255,1,18.58696237882961,0.0041123339979094
M6,Finance,AIC,ROST,253,8684,6,238.9953372711278,0.0198673330014571
M6,Finance,QRMSE,ROST,253,1058,1,25.07616635261975,0.003563458998542
M6,Finance,AIC,SLV,253,10260,7,-390.94840042505183,0.0234910829967702
M6,Finance,QRMSE,SLV,253,767,1,5.100855163090135,0.0026155000014114
M6,Finance,AIC,VXX,265,11746,6,-184.12480472781652,0.027279249999992317
M6,Finance,QRMSE,VXX,265,729,1,8.640365113668077,0.0025138749988400377
