,WS_ms_Avg
3945,3.169
3949,3.178
3953,0.086
3957,2.096
3961,2.274
3965,4.236
3969,5.255
3973,5.157
3977,4.844
3981,3.539
3985,3.783
3989,0.291
3993,5.878
3997,4.864
4001,2.582
4005,2.736
4009,2.981
4013,0.529
4017,2.727
4021,3.401
4025,2.052
4029,5.35
4033,6.14
4037,5.677
4041,7.865
4045,4.343
4049,3.446
4053,3.25
4057,3.535
4061,1.051
4065,4.304
4069,5.495
4073,3.64
4077,1.813
4081,2.708
4085,2.03
4089,5.335
4093,2.874
4097,4.245
4101,1.725
4105,3.322
4109,2.985
4113,4.225
4117,4.527
4121,0.499
4125,2.04
4129,2.879
4133,3.791
4137,5.646
4141,5.063
4145,1.072
4149,2.41
4153,3.829
4157,0.925
4161,4.577
4165,4.533
4169,2.663
4173,2.153
4177,3.649
4181,1.566
4185,5.323
4189,1.803
4193,1.827
4197,2.346
4201,4.444
4205,2.918
4209,2.805
4213,2.062
4217,3.288
4221,2.515
4225,2.94
4229,4.098
4233,7.483
4237,3.175
4241,1.863
4245,2.429
4249,3.873
4253,3.984
4257,4.308
4261,3.731
4265,3.068
4269,2.964
4273,4.472
4277,4.17
4281,3.335
4285,3.395
4289,3.236
4293,3.276
4297,3.889
4301,1.455
4305,4.973
4309,6.636
4313,2.004
4317,2.112
4321,1.051
4325,2.54
4329,5.92
4333,5.644
4337,4.154
4341,3.992
4345,6.333
4349,5.382
4353,6.647
4357,5.531
4361,4.329
4365,5.566
4369,8.33
4373,6.944
4377,6.247
4381,9.72
4385,5.856
4389,2.98
4393,5.398
4397,4.058
4401,6.582
4405,3.95
4409,1.647
4413,2.716
4417,3.604
4421,3.569
4425,4.159
4429,4.37
4433,3.846
4437,5.119
4441,5.654
4445,6.046
4449,5.368
4453,5.033
4457,4.37
4461,4.831
4465,6.223
4469,6.106
4473,6.238
4477,5.322
4481,5.084
4485,5.092
4489,4.62
4493,4.889
4497,4.228
4501,4.066
4505,0.857
4509,3.483
4513,3.68
4517,2.646
4521,5.732
4525,2.405
4529,5.321
4533,3.488
4537,2.938
4541,2.073
4545,6.11
4549,6.691
4553,1.201
