,Vapor_Pressure_Avg,,,,
594,2.008327,,,1977,1.412437
595,2.035559,,,1981,1.336866
596,2.124074,,,1985,1.306815
597,2.27085,,,1989,1.649007
598,2.327114,,,1993,1.532569
599,2.384975,,,1997,1.573652
600,2.349504,,,2001,1.39763
601,2.388016,,,2005,1.40095
602,2.260679,,,2009,1.307609
603,2.104529,,,2013,1.579541
604,2.07959,,,2017,1.538952
605,2.238176,,,2021,1.590278
606,2.288078,,,2025,1.555453
607,2.30252,,,2029,1.200954
608,2.35731,,,2033,1.076603
609,2.340206,,,2037,1.365595
610,2.333836,,,2041,1.374927
611,2.326323,,,2045,1.500953
612,2.233672,,,2049,1.150187
613,2.294253,,,2053,1.095343
614,2.220993,,,2057,1.061262
615,2.187454,,,2061,1.261968
616,2.117684,,,2065,1.44492
617,1.957189,,,2069,1.420693
618,1.883518,,,2073,1.173571
619,1.781416,,,2077,1.130261
620,1.843518,,,2081,0.9881046
621,1.976007,,,2085,1.288656
622,2.165934,,,2089,1.485172
623,2.306336,,,2093,1.345932
624,2.384953,,,2097,1.170051
625,2.334612,,,2101,1.019914
626,2.08948,,,2105,0.9233394
627,2.199067,,,2109,1.253096
628,2.429748,,,2113,1.323668
629,2.293497,,,2117,1.487458
630,2.069019,,,2121,1.212506
631,2.106225,,,2125,1.071797
632,2.199488,,,2129,1.086885
633,2.313003,,,2133,1.293766
634,2.386297,,,2137,1.375326
635,2.319564,,,2141,1.48829
636,2.152698,,,2145,1.184447
637,2.043452,,,2149,1.013716
638,1.970927,,,2153,0.9209124
639,1.891681,,,2157,1.362828
640,1.744055,,,2161,1.374424
641,1.707503,,,2165,1.419568
642,1.699633,,,2169,1.162974
643,1.671819,,,2173,0.9959202
644,1.685444,,,2177,0.9692641
645,1.792272,,,2181,1.183921
646,1.924479,,,2185,1.54918
647,2.114353,,,2189,1.371078
648,2.236987,,,2193,1.263633
649,2.299496,,,2197,1.07097
650,2.463011,,,2201,0.9452327
651,2.493525,,,2205,1.16133
652,2.568175,,,2209,1.456565
653,2.594773,,,2213,1.445143
654,2.58889,,,2217,1.171037
655,2.581306,,,2221,1.108743
656,2.484718,,,2225,1.114984
657,2.422565,,,2229,1.43633
658,2.271121,,,2233,1.484311
659,2.202283,,,2237,1.505257
660,2.143484,,,2241,1.343703
661,2.189802,,,2245,1.309145
662,2.18913,,,2249,1.250407
663,2.045659,,,2253,1.38283
664,1.910216,,,2257,1.403063
665,1.75318,,,2261,1.386663
666,1.666522,,,2265,1.147616
667,1.618271,,,2269,1.06661
668,1.664047,,,2273,1.097876
669,1.732688,,,2277,1.190214
670,1.787247,,,2281,1.299765
671,1.767563,,,2285,1.3197
672,1.811424,,,2289,1.117129
673,1.800098,,,2293,1.041606
674,1.892361,,,2297,1.002211
675,2.02696,,,2301,1.308709
676,1.902958,,,2305,1.315739
677,2.162451,,,2309,1.289332
678,2.354998,,,2313,1.189597
679,2.423312,,,2317,1.068421
680,2.302478,,,2321,0.9798762
681,2.137881,,,2325,1.151448
682,2.020794,,,2329,1.375403
683,2.197049,,,2333,1.315362
684,1.982947,,,2337,1.144114
685,1.744722,,,2341,1.186626
686,1.775444,,,2345,1.340478
687,1.757062,,,2349,1.486556
688,1.652235,,,2353,1.546413
689,1.600649,,,2357,1.511657
690,1.637751,,,2361,1.512016
691,1.69109,,,2365,1.319948
692,1.910099,,,2369,1.403934
693,2.087111,,,2373,1.439756
694,2.253136,,,2377,1.326784
695,2.309143,,,2381,1.223431
696,2.368077,,,2385,1.255942
697,2.409451,,,2389,1.194001
698,2.422335,,,2393,1.124894
699,2.436649,,,2397,1.297143
700,2.446675,,,2401,1.405562
701,2.421405,,,2405,1.486455
702,2.429134,,,2409,1.289362
703,2.431694,,,2413,1.157146
704,2.407846,,,2417,1.109689
705,2.344708,,,2421,1.224977
706,2.332263,,,2425,1.29606
707,2.306048,,,2429,1.249777
708,2.280439,,,2433,1.200923
709,2.118276,,,2437,1.195821
710,1.98816,,,2441,1.154182
711,1.97768,,,2445,1.375598
712,2.133271,,,2449,1.452165
713,2.131088,,,2453,1.386568
714,2.089302,,,2457,1.189499
715,1.953845,,,2461,1.066131
716,2.020719,,,2465,1.021365
717,2.068259,,,2469,1.103083
718,2.035397,,,2473,1.339491
719,2.048056,,,2477,1.289293
720,2.155869,,,2481,0.9940463
721,2.286994,,,2485,0.8623341
722,2.289436,,,2489,0.8577083
723,2.262431,,,2493,1.102909
724,2.293346,,,2497,1.362103
725,2.307191,,,2501,1.29481
726,2.293258,,,2505,1.158494
727,2.289099,,,2509,1.098387
728,2.286014,,,2513,0.9604938
729,2.260772,,,2517,1.17679
730,2.235502,,,2521,1.344006
731,2.228667,,,2525,1.121045
732,2.188126,,,2529,1.04468
733,2.175271,,,2533,0.9510911
734,2.120653,,,2537,0.85739
735,2.119478,,,2541,0.8484665
736,2.096842,,,2545,0.9706156
737,2.02867,,,2549,0.9810765
738,1.972067,,,2553,1.0585
739,1.948122,,,2557,0.9841743
740,1.968923,,,2561,1.127498
741,2.054065,,,2565,1.155457
742,2.07207,,,2569,0.9646433
743,2.081983,,,2573,0.8740772
744,2.147412,,,2577,0.8593841
745,2.18955,,,2581,0.862611
746,2.209502,,,2585,0.7306126
747,2.216153,,,2589,0.6903105
748,2.213816,,,2593,0.6686145
749,2.22892,,,2597,0.6383139
750,2.2194,,,2601,0.6418955
751,2.209929,,,2605,0.6527263
752,2.174805,,,2609,0.593988
753,2.172013,,,2613,0.6233678
754,2.192988,,,2617,0.7701077
755,2.183483,,,2621,0.6787984
756,2.141348,,,2625,0.837464
757,2.181396,,,2629,0.9443993
758,2.17136,,,2633,1.072086
759,2.142179,,,2637,1.101282
760,2.104219,,,2641,1.215294
761,2.078724,,,2645,1.186483
762,2.06302,,,2649,1.062009
763,2.054907,,,2653,1.01917
764,2.022588,,,2657,0.8587519
765,2.090754,,,2661,0.9524517
766,2.106674,,,2665,0.8608738
767,2.105888,,,2669,0.8807715
768,2.125131,,,2673,0.6386092
769,2.119172,,,2677,0.4689867
770,2.098987,,,2681,0.4946666
771,2.088097,,,2685,0.4314255
772,2.089141,,,2689,0.5478447
773,2.083902,,,2693,0.6083598
774,2.054959,,,2697,0.5889378
775,2.052321,,,2701,0.4877824
776,2.057037,,,2705,0.5242551
777,2.058538,,,2709,0.4862649
778,2.088337,,,2713,0.5999849
779,2.156951,,,2717,0.8157115
780,2.103216,,,2721,0.8452612
781,2.037473,,,2725,0.7868757
782,2.040192,,,2729,0.8523835
783,2.05372,,,2733,0.8819302
784,2.083942,,,2737,0.8610651
785,2.099335,,,2741,0.8043301
786,2.110704,,,2745,0.6861761
787,2.034365,,,2749,0.6881613
