,WTemp_C1_Avg
409,23.38989
410,23.46926
411,23.45129
412,23.39551
413,23.36642
414,23.30734
415,23.23024
416,23.17774
417,23.13947
418,23.11958
419,23.11433
420,23.08453
421,23.03571
422,23.00331
423,22.97399
424,22.95854
425,22.94297
426,22.90846
427,22.88414
428,22.87256
429,22.93096
430,23.01367
431,23.06857
432,23.14247
433,23.41095
434,23.49214
435,23.53724
436,23.40372
437,23.26551
438,23.19932
439,23.15182
440,23.12479
441,23.09629
442,23.07338
443,23.03989
444,23.02328
445,22.99388
446,22.98078
447,22.96489
448,22.95278
449,22.94172
450,22.92268
451,22.91603
452,22.91957
453,22.9639
454,23.04701
455,23.11102
456,23.20202
457,23.28435
458,23.42566
459,23.43331
460,23.41978
461,23.38523
462,23.35886
463,23.33746
464,23.31341
465,23.29225
466,23.27045
467,23.24498
468,23.22496
469,23.21157
470,23.16817
471,23.15215
472,23.08881
473,23.03633
474,23.00651
475,22.99661
476,22.99459
477,23.02011
478,23.05248
479,23.11205
480,23.15458
481,23.2249
482,23.2175
483,23.22064
484,23.20477
485,23.18683
486,23.17944
487,23.17195
488,23.16361
489,23.15031
490,23.14417
491,23.13468
492,23.23012
493,23.35239
494,23.28498
495,23.23321
496,23.21274
497,23.20222
498,23.216
499,23.22684
500,23.24764
501,23.3071
502,23.38474
503,23.50541
504,23.68652
505,23.88459
506,24.00814
507,23.92616
508,23.82874
509,23.76907
510,23.72759
511,23.71595
512,23.69547
513,23.67452
514,23.64818
515,23.5975
516,23.55962
517,23.52316
518,23.49899
519,23.47343
520,23.44244
521,23.42202
522,23.41462
523,23.41442
524,23.43185
525,23.46812
526,23.56305
527,23.59242
528,23.61838
529,23.79669
530,23.84087
531,23.73943
532,23.62142
533,23.59642
534,23.58092
535,23.59821
536,23.58638
537,23.55686
538,23.54798
539,23.53806
540,23.51103
541,23.47448
542,23.44323
543,23.42501
544,23.41157
545,23.40903
546,23.38554
547,23.38142
548,23.40717
549,23.45809
550,23.50563
551,23.57307
552,23.60593
553,23.70261
554,23.65844
555,23.65022
556,23.63662
557,23.61536
558,23.58732
559,23.55578
560,23.52493
561,23.50882
562,23.49409
563,23.47649
564,23.47924
565,23.47888
566,23.46894
567,23.45131
568,23.42555
569,23.41031
570,23.40471
571,23.3993
572,23.38884
573,23.40999
574,23.45782
575,23.54519
576,23.65282
577,23.72072
578,23.69255
579,23.65261
580,23.62732
581,23.59688
582,23.57296
583,23.5792
584,23.57441
585,23.55005
586,23.52435
587,23.50174
588,23.4956
589,23.4789
590,23.45783
591,23.4384
592,23.42346
593,23.3971
594,23.37405
595,23.35853
596,23.36328
597,23.43423
598,23.56014
599,23.6722
600,23.84791
601,23.96372
602,23.89516
603,23.85534
604,23.8144
605,23.75912
606,23.7139
607,23.6814
608,23.67027
609,23.65857
610,23.64091
611,23.62611
612,23.61842
613,23.60987
614,23.59772
615,23.58778
616,23.5696
617,23.55474
618,23.53042
619,23.5087
620,23.53106
621,23.62005
622,23.72002
623,23.80352
624,24.03992
625,24.14635
626,24.10085
627,24.06434
628,24.05019
629,23.98
630,23.93784
631,23.89986
632,23.85406
633,23.84398
634,23.82936
635,23.82002
636,23.79711
637,23.76984
638,23.74226
639,23.72019
640,23.68402
641,23.64178
642,23.60515
643,23.57079
644,23.54095
645,23.59077
646,23.67595
647,23.79952
648,24.04509
649,24.12371
650,24.19774
651,24.08941
652,23.97639
653,23.91473
654,23.85518
