,SDI_Temp_1m,,,SDI_Temp_1m
746,23.17,,2585,13.4
747,23.26,,2589,13.39
748,23.15,,2593,13.39
749,23.18,,2597,12.89
750,23.18,,2601,13.08
751,23.15,,2605,12.93
752,23.04,,2609,12.66
753,22.99,,2613,12.77
754,23.13,,2617,12.66
755,23.07,,2621,12.69
756,23.07,,2625,12.56
757,23,,2629,12.47
758,23.03,,2633,12.41
759,22.91,,2637,12.63
760,22.93,,2641,12.5
761,22.78,,2645,12.4
762,22.95,,2649,12.59
763,23.01,,2653,12.34
764,22.85,,2657,12.36
765,22.94,,2661,12.53
766,22.93,,2665,12.45
767,22.95,,2669,12.42
768,22.95,,2673,12.27
769,23.09,,2677,12.21
770,23.07,,2681,12.05
771,23.23,,2685,12.19
772,23.06,,2689,12.07
773,23.12,,2693,11.99
774,23.09,,2697,11.84
775,23.08,,2701,11.61
776,23.08,,2705,11.45
777,22.91,,2709,11.61
778,22.98,,2713,11.57
779,22.89,,2717,11.48
780,22.78,,2721,11.32
781,22.68,,2725,11.21
782,22.81,,2729,11.16
783,22.75,,2733,10.9
784,22.68,,2737,10.79
785,22.77,,2741,10.85
786,22.71,,2745,10.68
787,22.84,,2749,10.5
788,22.77,,2753,10.49
789,22.76,,2757,10.64
790,22.77,,2761,10.64
791,23.21,,2765,10.66
792,23.02,,2769,10.37
793,23.18,,2773,10.24
794,23.17,,2777,10.29
795,23.15,,2781,10.59
796,23.11,,2785,10.47
797,23.18,,2789,10.31
798,23.07,,2793,10.11
799,23.05,,2797,10.17
800,22.89,,2801,10.08
801,22.97,,2805,10.4
802,22.95,,2809,10.47
803,22.87,,2813,10.3
804,22.9,,2817,10.17
805,23,,2821,10.17
806,23.01,,2825,10.13
807,22.69,,2829,10.4
808,22.76,,2833,10.46
809,22.65,,2837,10.37
810,22.69,,2841,10.21
811,22.7,,2845,10.17
812,22.86,,2849,10.21
813,22.86,,2853,10.28
814,22.92,,2857,10.28
815,23.11,,2861,10.24
816,23.29,,2865,10.19
817,23.28,,2869,10.08
818,23.18,,2873,10
819,23.24,,2877,10.27
820,23.14,,2881,10.39
821,23.12,,2885,10.3
822,23.19,,2889,10.24
823,23.1,,2893,10.12
824,23.1,,2897,10.02
825,22.95,,2901,10.24
826,22.96,,2905,10.32
827,22.97,,2909,10.22
828,23.01,,2913,10.18
829,22.77,,2917,10.09
830,22.93,,2921,10.03
831,22.91,,2925,10.47
832,22.82,,2929,10.75
833,22.87,,2933,10.44
834,22.83,,2937,10.33
835,22.73,,2941,10.16
836,22.71,,2945,10.16
837,22.96,,2949,10.51
838,23.06,,2953,10.66
839,23.39,,2957,10.64
840,23.22,,2961,10.48
841,23.32,,2965,10.34
842,23.37,,2969,10.39
843,23.37,,2973,10.65
844,23.23,,2977,10.92
845,23.27,,2981,10.87
846,23.14,,2985,10.59
847,23.09,,2989,10.36
848,22.99,,2993,10.11
849,23.04,,2997,10.55
850,22.93,,3001,11.3
851,22.91,,3005,10.54
852,22.89,,3009,10.34
853,22.91,,3013,10.22
854,22.85,,3017,10.23
855,22.8,,3021,10.63
856,22.79,,3025,10.78
857,22.85,,3029,10.89
858,22.74,,3033,10.5
859,22.79,,3037,10.24
860,22.81,,3041,10.21
861,22.88,,3045,10.76
862,22.92,,3049,10.53
863,22.82,,3053,10.65
864,22.93,,3057,10.61
865,22.87,,3061,10.57
866,23.02,,3065,10.58
867,22.94,,3069,10.81
868,22.92,,3073,10.91
869,22.83,,3077,10.88
870,22.82,,3081,10.76
871,22.91,,3085,10.7
872,22.94,,3089,10.79
873,22.85,,3093,10.99
874,22.77,,3097,11.17
875,22.77,,3101,11.03
876,22.84,,3105,11.07
877,22.74,,3109,10.92
878,22.72,,3113,10.89
879,22.75,,3117,11.08
880,22.77,,3121,11.15
881,22.78,,3125,11.03
882,22.66,,3129,11.02
883,22.71,,3133,10.89
884,22.68,,3137,10.8
885,22.78,,3141,10.98
886,22.87,,3145,10.98
887,23.01,,3149,10.95
888,23.11,,3153,10.86
889,23.14,,3157,10.74
890,23.05,,3161,10.78
891,23.04,,3165,10.81
892,22.92,,3169,11.03
893,22.87,,3173,11.04
894,22.67,,3177,10.92
895,22.65,,3181,10.91
896,22.59,,3185,11
897,22.51,,3189,10.99
898,22.46,,3193,11.14
899,22.34,,3197,11.23
900,22.37,,3201,11.11
901,22.23,,3205,11.28
902,22.29,,3209,11.11
903,22.1,,3213,11.17
904,22.1,,3217,11.28
905,21.9,,3221,11.29
906,21.86,,3225,11.26
907,21.93,,3229,11.34
908,21.88,,3233,11.23
909,21.82,,3237,11.3
910,21.88,,3241,11.49
911,21.81,,3245,11.46
912,22.06,,3249,11.47
913,22.06,,3253,11.4
914,21.97,,3257,11.44
915,21.98,,3261,11.67
916,21.95,,3265,11.87
917,21.93,,3269,11.87
918,21.91,,3273,11.89
919,21.86,,3277,11.91
920,21.93,,3281,11.85
921,21.85,,3285,11.97
922,21.74,,3289,12.12
923,21.61,,3293,12.14
924,21.82,,3297,12.16
925,21.67,,3301,12.13
926,21.68,,3305,12.04
927,21.55,,3309,12.16
928,21.62,,3313,12.3
929,21.54,,3317,12.35
930,21.51,,3321,12.38
931,21.39,,3325,12.33
932,21.47,,3329,12.34
933,21.61,,3333,12.29
934,21.66,,3337,12.33
935,21.78,,3341,12.37
936,21.97,,3345,12.51
937,21.84,,3349,12.57
938,21.81,,3353,12.51
939,21.61,,3357,12.35
940,21.65,,3361,12.44
941,21.6,,3365,12.53
942,21.58,,3369,12.86
943,21.45,,3373,12.76
944,21.42,,3377,12.76
945,21.36,,3381,12.74
946,21.47,,3385,12.73
947,21.46,,3389,12.88
948,21.45,,3393,12.99
949,21.28,,3397,13
950,21.29,,3401,13.04
951,21.36,,3405,12.96
952,21.33,,3409,12.9
953,21.3,,3413,13.08
954,21.23,,3417,13.3
955,21.22,,3421,13.68
956,21.18,,3425,13.28
957,21.28,,3429,13.05
958,21.4,,3433,12.99
959,21.35,,3437,13.34
960,21.62,,3441,13.64
961,21.71,,3445,13.53
962,21.68,,3449,13.41
963,21.7,,3453,13.38
964,21.54,,3457,13.38
965,21.43,,3461,13.51
966,21.42,,3465,13.86
967,21.35,,3469,13.69
968,21.32,,3473,13.7
969,21.41,,3477,13.52
970,21.17,,3481,13.45
971,21.26,,3485,13.45
972,21.22,,3489,13.37
973,21.3,,3493,13.27
974,21.05,,3497,13.16
975,21.09,,3501,13.21
976,21.02,,3505,13.02
977,20.99,,3509,13.1
978,20.82,,3513,13.22
979,21.01,,3517,13.19
980,20.82,,3521,13.05
981,20.94,,3525,12.96
982,21.2,,3529,12.88
983,21.32,,3533,12.82
984,21.57,,3537,13.05
985,21.65,,3541,12.97
986,21.32,,3545,12.95
987,21.1,,3549,12.74
988,21.11,,3553,12.53
989,21.09,,3557,12.58
990,20.99,,3561,12.74
991,20.96,,3565,12.52
992,20.94,,3569,12.44
993,20.94,,3573,12.2
994,20.97,,3577,11.91
995,20.84,,3581,12.03
996,20.79,,3585,12.61
997,20.9,,3589,12.17
998,20.88,,3593,12.1
999,20.69,,3597,12.04
1000,20.72,,3601,11.84
1001,20.57,,3605,12.18
1002,20.73,,3609,12.44
1003,20.55,,3613,12.22
1004,20.6,,3617,11.91
1005,20.58,,3621,11.78
1006,20.76,,3625,11.61
1007,20.98,,3629,11.68
1008,21.03,,3633,11.9
1009,21.26,,3637,11.83
1010,21.22,,3641,11.78
1011,21.1,,3645,11.56
1012,21.1,,3649,11.55
1013,21.09,,3653,11.64
1014,20.88,,3657,11.91
1015,20.8,,3661,11.79
1016,20.89,,3665,11.84
1017,20.84,,3669,11.79
1018,20.69,,3673,11.68
1019,20.72,,3677,11.82
1020,20.68,,3681,12.19
1021,20.61,,3685,12.08
1022,20.57,,3689,12.09
1023,20.6,,3693,11.92
1024,20.64,,3697,11.86
1025,20.54,,3701,12.14
1026,20.5,,3705,12.54
1027,20.46,,3709,12.29
1028,20.57,,3713,12.3
1029,20.53,,3717,12.19
1030,20.64,,3721,12.23
1031,20.68,,3725,12.41
1032,20.71,,3729,13.09
1033,20.78,,3733,12.73
1034,20.8,,3737,12.71
1035,20.72,,3741,12.62
1036,20.7,,3745,12.52
1037,20.58,,3749,12.76
1038,20.62,,3753,13.24
1039,20.46,,3757,13.05
1040,20.55,,3761,13.12
1041,20.38,,3765,12.83
1042,20.45,,3769,12.85
1043,20.3,,3773,13.11
1044,20.31,,3777,13.97
1045,20.31,,3781,13.71
1046,20.25,,3785,13.59
1047,20.18,,3789,13.58
1048,20.27,,3793,13.63
1049,20.12,,3797,13.74
1050,20.05,,3801,14.04
1051,20.13,,3805,14.03
1052,20.02,,3809,13.88
1053,20.13,,3813,13.81
1054,20.11,,3817,13.76
1055,20.06,,3821,13.81
1056,20.08,,3825,14.66
1057,20.15,,3829,14.58
1058,20.18,,3833,14.29
1059,20.21,,3837,14.18
1060,20.19,,3841,14.01
1061,20.3,,3845,14.27
1062,20.19,,3849,14.82
1063,20.19,,3853,14.71
1064,20.22,,3857,14.67
1065,20.15,,3861,14.63
1066,20.22,,3865,14.59
1067,20.16,,3869,14.95
1068,20.2,,3873,15.86
1069,20.1,,3877,15.33
1070,20.19,,3881,15.38
1071,20.06,,3885,15.29
1072,20.09,,3889,15.25
1073,20,,3893,15.63
1074,20.2,,3897,15.92
1075,19.99,,3901,15.66
1076,20.12,,3905,15.49
1077,20.06,,3909,15.38
1078,20.34,,3913,15.3
1079,20.36,,3917,15.53
1080,20.51,,3921,16.3
1081,20.36,,3925,16.17
1082,20.47,,3929,16.04
1083,20.41,,3933,15.93
1084,20.35,,3937,15.87
1085,20.25,,3941,16.35
1086,20.28,,3945,16.83
1087,20.18,,3949,16.69
1088,20.15,,3953,16.57
1089,20.16,,3957,16.3
1090,20.06,,3961,16.36
1091,19.94,,3965,16.55
1092,20.07,,3969,16.9
1093,20.04,,3973,16.91
1094,20.04,,3977,16.74
1095,20.02,,3981,16.53
1096,19.92,,3985,16.51
1097,19.97,,3989,16.67
1098,19.98,,3993,16.96
1099,20,,3997,16.83
1100,19.88,,4001,16.8
1101,19.95,,4005,16.7
1102,20.02,,4009,16.54
1103,20.03,,4013,16.67
1104,20.07,,4017,17.1
1105,20.14,,4021,16.77
1106,20.23,,4025,16.69
