,t1,t2,AR1,HW,theta,RF
1804,16,124,423.45980386338186,229.63450854302127,201.73021553180945,323.4880976660064
1805,16,125,602.5337139154461,119.60856412138966,127.48401075788837,292.76036255466
1806,16,126,541.1550373990376,123.18942792036937,132.8744147319816,294.70941208838417
1807,16,127,562.9866592469315,183.05917816631202,188.17648441897404,485.7031824322256
1808,16,128,611.3993726898203,194.0718343212665,203.16376614049975,436.5222709240813
1809,16,129,544.3315785913418,197.709011493657,192.8487538053315,434.73214429570595
1810,16,130,726.3117407333568,268.7915553986299,288.65138712486885,521.0365486120342
1811,16,131,847.3570838666606,360.34839517483573,389.2900702577332,542.7022871674349
1812,16,132,750.3951255248592,317.8673815334286,342.91547165813256,552.5169086242128
1813,16,133,482.2665521928891,310.9093425001662,287.3381304349626,493.41746694970215
1814,16,134,640.3310226667764,310.0204348578126,302.8226020133403,429.2743425182044
1815,16,135,534.9352840316833,311.7445322063027,301.42988711890547,422.5222183564191
1816,16,136,315.01481611137257,461.44818876603335,423.41068041230267,283.84835021751303
1817,16,137,363.5290216365849,457.60963741127006,418.1576779327876,208.42652622013782
1818,16,138,411.9903432395642,384.12994154156706,349.29903735125856,196.83905969352497
1819,17,41,273.07315709104597,268.889295962058,269.6362052881513,260.3279192508089
1820,17,42,197.82460132323783,242.881087646353,466.48878976719476,143.90221261275684
1821,17,43,204.4156133498439,267.40497906251164,371.4249476342113,165.01009798947481
1822,17,44,197.78981241177675,251.66125247756366,256.64569844052113,144.97190684977681
1823,17,45,123.66156003173468,148.02012459266493,152.8394334864079,149.83720199057385
1824,17,46,97.17034229714537,93.2754621598587,94.79853714967533,207.98029045290778
1825,17,47,81.31136326003019,63.99311776443844,64.2058943507439,215.36936828683758
1826,17,48,113.3191863397295,125.7988884137013,125.53187495704458,235.19127192489944
1827,17,49,126.88829446622647,129.31338539525828,129.1891352660584,226.3394920291738
1828,17,50,174.37710775722567,149.84201134588088,152.7850932760533,193.68020966082116
1829,17,51,154.94631889991572,139.30047366906248,140.74157131596857,126.5876742829646
1830,17,52,171.3329374451139,144.56397174331863,147.42414292819268,139.80479605318052
1831,17,53,173.59701190195568,144.94186410291687,147.82196480441877,144.41785090875385
1832,17,54,181.40026272925743,124.35578121551234,144.03506588885537,135.32732461323016
1833,17,55,136.51753485215113,110.91074281526643,119.90859412131499,133.55927089146456
1834,17,56,82.92522701491586,92.059989338915,86.99268920837976,110.32183291442618
1835,17,57,180.804138128277,151.2575464151629,153.06870333873684,167.4028868086311
1836,17,58,388.4079194344505,339.5536491645639,343.54435308335496,364.06247390084246
1837,17,59,870.4940054239131,809.0599016850919,816.7487559253083,837.9955914040219
1838,17,60,1478.6783398339282,1406.0785729928239,1415.4310461203672,1428.2163806071696
1839,17,61,1481.4871404309483,1417.903711039415,1431.5577278103592,1427.9262895303398
1840,17,62,1486.4130141058383,1431.17894853449,1450.3879675534818,1438.8924629042028
1841,17,63,1452.7309231203444,1434.3303991505227,1417.0296779216358,1433.924220508304
1842,17,64,1261.9732906500717,1353.2334433040144,1247.508380812849,1263.7302631113798
1843,17,65,3085.632210034598,2098.4685681075457,1941.2191890602942,1368.7244462448687
1844,17,66,11936.464888633065,6915.551383180874,3092.19676302211,2118.438882373163
1845,17,67,198.79709701208657,1117.4726031908551,1102.1305804622925,893.0066083751311
