name,categ,npred,npoints,nsegm,nIntAR,RMSEBaseAR,RMSEForeAR,deltaAR,nIntHW,RMSEBaseHW,RMSEForeHW,deltaHW,nIntTh,RMSEBaseTh,RMSEForeTH,deltaTh,nIntRF,RMSEBaseRF,RMSEForeRF,deltaRF
N2511,MACRO       ,18,108,1225,2,0.273160734,0.202550581,-0.258493056,1,0.064743554,0.064743554,0,2,0.046457025,0.057501031,0.237725218,2,0.11500845,0.109790314,-0.045371765
N2257,MACRO       ,18,134,2850,2,0.383932551,0.43600494,0.135629002,2,0.37253738,0.379683219,0.019181536,2,0.367201821,0.37522699,0.021854926,2,0.335561922,0.351985698,0.0489441
N2355,MACRO       ,18,134,2850,2,0.361508252,0.334282752,-0.075310867,2,0.22550477,0.283283859,0.256221135,2,0.25623028,0.268175141,0.04661768,2,0.282980017,0.290129871,0.025266286
N2373,MACRO       ,18,134,2850,2,0.180522839,0.192642646,0.067137247,2,0.099116795,0.095181934,-0.039699237,2,0.132614576,0.140543675,0.059790555,2,0.189949487,0.185844197,-0.021612533
N1861,MICRO       ,18,126,2278,1,0.187163945,0.187163945,0,1,0.152741628,0.152741628,0,1,0.191503096,0.191503096,0,2,0.163068468,0.13935082,-0.145445949
N1747,MICRO       ,18,126,2278,2,0.227687564,0.156332216,-0.313391505,2,0.104755895,0.140554795,0.341736381,1,0.088918417,0.088918417,0,1,0.120495315,0.120495315,0
N1790,MICRO       ,18,126,2278,2,0.18610466,0.189998412,0.020922374,2,0.22980589,0.16535545,-0.280455995,2,0.227650955,0.211470509,-0.07107568,2,0.172820582,0.170608694,-0.012798754
N1789,MICRO       ,18,126,2278,2,0.235295315,0.097709359,-0.584737338,1,0.07017529,0.07017529,0,1,0.026222067,0.026222067,0,1,0.057253855,0.057253855,0
N1751,MICRO       ,18,126,2278,1,0.154789239,0.154789239,0,1,0.087530636,0.087530636,0,1,0.075546904,0.075546904,0,1,0.0861549,0.0861549,0
N2780,OTHER       ,18,120,1891,2,0.190469949,0.188725848,-0.009156829,2,0.16370367,0.182965296,0.117661538,2,0.159750615,0.155885242,-0.024196295,1,0.21358854,0.21358854,0
N2783,OTHER       ,18,120,1891,2,0.195495768,0.175262532,-0.103497051,1,0.194110508,0.194110508,0,1,0.203465801,0.203465801,0,1,0.197805076,0.197805076,0
N2778,OTHER       ,18,96,703,1,0.218944289,0.218944289,0,1,0.235178139,0.235178139,0,1,0.223833094,0.223833094,0,1,0.210446417,0.210446417,0
N2785,OTHER       ,18,96,703,1,0.260448071,0.260448071,0,1,0.098500122,0.098500122,0,1,0.094299917,0.094299917,0,1,0.101064076,0.101064076,0
N2799,OTHER       ,18,96,703,1,0.23472379,0.23472379,0,1,0.069850339,0.069850339,0,1,0.071406774,0.071406774,0,1,0.073526404,0.073526404,0
Q12635,Demographic,18,122,2415,2,0.188589582,0.195862939,0.038567124,2,0.343595069,0.327975502,-0.04545923,2,0.186524742,0.206087533,0.104880409,2,0.248310136,0.2335308,-0.059519668
Q12163,Demographic,18,115,1953,2,0.065957165,0.09618969,0.458366051,2,0.045849714,0.063281417,0.380192194,2,0.028663408,0.032801746,0.144377025,2,0.052649471,0.055318098,0.050686688
Q12036,Demographic,18,150,4753,3,0.088934642,0.090735584,0.020250174,3,0.104858049,0.098790629,-0.057863179,3,0.122936074,0.099299164,-0.192269926,3,0.148489639,0.149072105,0.003922605
Q12726,Demographic,18,161,5886,3,0.263796821,0.16832223,-0.361924723,3,0.076773917,0.064757839,-0.156512503,2,0.114545133,0.041684228,-0.636089051,3,0.087429542,0.083394034,-0.046157263
Q11722,Demographic,18,184,8646,3,0.032517314,0.057009968,0.753218868,2,0.080432648,0.074205358,-0.077422412,3,0.024596397,0.069623883,1.830653696,3,0.092472647,0.064175049,-0.306010462
Q22725,Finance,18,114,1891,2,0.123520877,0.273863857,1.217146318,2,0.152740286,0.16930374,0.108441951,2,0.150728233,0.063597419,-0.578065649,2,0.264050206,0.137416611,-0.479581503
Q22366,Finance,18,122,2415,2,0.111439125,0.036743152,-0.670284992,2,0.024956961,0.025143959,0.007492835,1,0.072439102,0.072439102,0,2,0.027382098,0.028350675,0.035372637
Q19569,Finance,18,123,2485,1,0.41290399,0.41290399,0,1,0.440765452,0.440765452,0,2,0.437487984,0.476641244,0.089495622,2,0.467340199,0.424774978,-0.091079733
Q20713,Finance,18,102,1225,2,0.106764578,0.192003554,0.798382538,2,0.033675942,0.070297178,1.087459907,2,0.038955435,0.024789364,-0.363648118,2,0.088618908,0.090440973,0.020560676
Q23085,Finance,18,109,1596,2,0.088392974,0.103813542,0.174454682,2,0.100079236,0.109579178,0.094924205,2,0.161204324,0.146268201,-0.092653363,2,0.207244287,0.205500367,-0.008414804
Q14875,Industry,18,154,5151,3,0.107976502,0.12690906,0.175339611,3,0.137631304,0.171095129,0.24314109,3,0.095415869,0.108809846,0.14037473,3,0.066340888,0.066237429,-0.001559519
Q13248,Industry,18,271,23871,5,0.186924856,0.206949305,0.10712566,6,0.271843474,0.219718751,-0.191745354,6,0.209621823,0.205960117,-0.017468152,4,0.237156476,0.238016438,0.003626134
Q14559,Industry,18,115,1953,2,0.218436533,0.177726426,-0.186370413,1,0.172229042,0.172229042,0,1,0.166055661,0.166055661,0,1,0.17258757,0.17258757,0
Q14720,Industry,18,115,1953,2,0.349016601,0.278317737,-0.202565906,2,0.194245486,0.17790891,-0.084102731,2,0.218130208,0.207248558,-0.04988603,2,0.211815261,0.212393614,0.002730461
Q15440,Industry,18,118,2145,2,0.313046726,0.224998602,-0.281261921,1,0.182421008,0.182421008,0,1,0.178422294,0.178422294,0,1,0.224332882,0.224332882,0
Q1757,Macro,18,165,6328,2,0.091955921,0.067578733,-0.265096442,2,0.102796101,0.107344625,0.044248011,2,0.085764119,0.087812692,0.023886126,3,0.130473544,0.076177932,-0.416142694
Q206,Macro,18,108,1540,1,0.009756728,0.009756728,0,2,0.044256691,0.041370114,-0.065223499,2,0.123941892,0.114633297,-0.075104514,2,0.170353742,0.169205036,-0.006743062
Q4505,Macro,18,162,5995,3,0.10754459,0.199006953,0.850459922,2,0.154017699,0.175081633,0.13676307,2,0.11907743,0.129373464,0.086465029,2,0.176828362,0.174966001,-0.010532025
Q2829,Macro,18,116,2016,1,0.325851231,0.325851231,0,2,0.059542336,0.055843749,-0.062116931,2,0.073066464,0.087108208,0.192177686,1,0.20250622,0.20250622,0
Q3365,Macro,18,181,8256,4,0.151463235,0.146907031,-0.030081256,3,0.411685137,0.41679092,0.012402153,4,0.248867887,0.365729651,0.469573498,4,0.242963026,0.251629942,0.035671749
Q10783,Micro,18,118,2145,2,0.225620263,0.163107039,-0.277072739,2,0.189445421,0.218173264,0.151641789,2,0.17871045,0.159894541,-0.10528712,2,0.183382995,0.202950836,0.106704772
Q8960,Micro,18,103,1275,2,0.285602385,0.198868821,-0.303686414,2,0.20044169,0.271574519,0.354880413,2,0.150924129,0.190335463,0.261133416,2,0.119750294,0.120403857,0.005457714
Q11058,Micro,18,114,1891,2,0.059322308,0.090708632,0.529081295,2,0.049318628,0.045778815,-0.071774372,2,0.084726899,0.082996684,-0.020421076,2,0.134547668,0.139704828,0.03832961
Q8881,Micro,18,167,6555,3,0.394046422,0.411352396,0.043918616,3,0.21352312,0.1926158,-0.097915956,4,0.240860012,0.217810412,-0.095697081,4,0.221227561,0.228655881,0.033577735
Q9760,Micro,18,106,1431,2,0.100310007,0.092008892,-0.082754599,1,0.18900464,0.18900464,0,1,0.164964276,0.164964276,0,1,0.153304146,0.153304146,0
Q23500,Other,18,122,2415,1,0.210822529,0.210822529,0,2,0.054435468,0.055646681,0.022250445,1,0.20298044,0.20298044,0,2,0.193862073,0.236906843,0.222038115
Q23460,Other,18,122,2415,2,0.143851447,0.041568893,-0.71102902,1,0.098614705,0.098614705,0,2,0.13917556,0.13088413,-0.059575331,2,0.173663759,0.174585077,0.005305186
Q23631,Other,18,338,40755,6,0.250105625,0.341306748,0.364650429,6,0.271465375,0.306826705,0.130260919,6,0.272728031,0.281567699,0.032412026,5,0.204763835,0.185862879,-0.092306127
Q23439,Other,18,122,2415,2,0.334941308,0.275950608,-0.176122497,2,0.076094125,0.086839954,0.141217595,2,0.083213283,0.065907949,-0.207963611,2,0.167311902,0.176366982,0.054120954
Q23680,Other,18,194,10011,3,0.178262894,0.151775592,-0.148585618,4,0.16465252,0.253714975,0.540911587,3,0.181751041,0.255455258,0.405522942,2,0.11308027,0.114753759,0.014799127
