,0,1,2,3,4,5
51,0,59,1052.964588287719,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8682231875177808, 'ar.L2': -0.46629075258655794, 'sigma2': 4132341.1905577593}"
52,0,60,1070.0529003726097,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8702638635925792, 'ar.L2': -0.4676821348954281, 'sigma2': 4063337.5769853517}"
53,0,61,1027.2439478606864,"(0, 1, 2)","(0, 0, 0, 0)","{'ma1': -1.204798979245211, 'ma2': 0.451325836486137}"
54,0,62,1044.5721347917631,"(0, 1, 2)","(0, 0, 0, 0)","{'ma1': -1.178027414554279, 'ma2': 0.4143535622285932}"
55,0,63,1061.4742704817445,"(0, 1, 2)","(0, 0, 0, 0)","{'ma1': -1.179979423803606, 'ma2': 0.4162117624314766}"
56,0,64,1078.8982103279654,"(0, 1, 2)","(0, 0, 0, 0)","{'ma1': -1.1798745109143245, 'ma2': 0.42671578765680573}"
57,0,65,1095.7709203682869,"(0, 1, 2)","(0, 0, 0, 0)","{'ma1': -1.179765550423591, 'ma2': 0.4274450074962621}"
58,0,66,1113.959536982059,"(0, 1, 2)","(0, 0, 0, 0)","{'ma1': -1.1725325416168761, 'ma2': 0.4011433877740193}"
59,0,67,1131.0575884664443,"(0, 1, 2)","(0, 0, 0, 0)","{'ma1': -1.1610615480934028, 'ma2': 0.3833921768588699}"
60,0,68,1148.1044845591962,"(0, 1, 2)","(0, 0, 0, 0)","{'ma1': -1.1540294217750384, 'ma2': 0.3757380775689071}"
61,1,9,136.103558627815,"(1, 0, 0)","(0, 0, 0, 0)","(82.85714285714288, 2769.9999999999995)"
62,1,10,152.53302797361326,"(1, 0, 0)","(0, 0, 0, 0)","(158.00000000000003, 2594.6666666666665)"
63,1,11,176.1744875045783,"(1, 0, 0)","(0, 0, 0, 0)","(-34.90909090909075, 3109.090909090906)"
64,1,12,192.6136143245551,"(1, 0, 0)","(0, 0, 0, 0)","(8.727272727272645, 2978.181818181819)"
65,1,13,211.7661128278663,"(1, 0, 0)","(0, 0, 0, 0)","(107.41258741258744, 2649.2307692307695)"
66,1,14,220.90650266518173,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3212.307903805047, 'ar.L1': -0.47607007061718953, 'ar.L2': -0.7651650632887445, 'sigma2': 700791.988788538}"
67,1,15,236.18851263925058,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3224.704616336856, 'ar.L1': -0.47867111113857924, 'ar.L2': -0.7546009223015103, 'sigma2': 618725.078149229}"
68,1,16,252.80500642743493,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3188.35081062791, 'ar.L1': -0.40930842594006756, 'ar.L2': -0.7211172480926976, 'sigma2': 647369.4432222337}"
69,1,17,272.00453525176675,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3127.2536002296642, 'ar.L1': -0.37790944048492736, 'ar.L2': -0.6103702968067108, 'sigma2': 842451.844668676}"
70,1,18,288.3192734775094,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3098.058748276762, 'ar.L1': -0.350269680697151, 'ar.L2': -0.6022193739912904, 'sigma2': 838173.7320374076}"
71,1,19,322.87525230701493,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3241.1079165968254, 'ar.L1': -0.46977119429122327, 'ar.L2': -0.6521087148399991, 'sigma2': 2302457.0122680557}"
72,1,20,339.7588064209572,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3274.291629738044, 'ar.L1': -0.31201936620369036, 'ar.L2': -0.6480817369152334, 'sigma2': 2174232.267229013}"
73,1,21,358.42557790672896,"(0, 0, 0)","(0, 0, 0, 0)","{'const': 3318.002994714714, 'sigma2': 2924927.9446074604}"
74,1,22,375.18948455802916,"(0, 0, 0)","(0, 0, 0, 0)","{'const': 3297.145454911566, 'sigma2': 2814875.4719818705}"
75,1,23,400.5853269016663,"(0, 0, 0)","(0, 0, 0, 0)","{'const': 3545.4545454545455, 'sigma2': 3985209.414105683}"
76,1,24,418.2429805160728,"(0, 0, 0)","(0, 0, 0, 0)","{'const': 3615.635239088537, 'sigma2': 3952784.5583723714}"
77,1,25,435.77211004898766,"(0, 0, 0)","(0, 0, 0, 0)","{'const': 3555.002687250976, 'sigma2': 3879915.1437146715}"
78,1,26,446.4873716822216,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.7062568548480581, 'ar.L2': -0.5759753527471067, 'sigma2': 5403282.603874928}"
79,1,27,463.8883907514272,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.7258466319311585, 'ar.L2': -0.5753706297918253, 'sigma2': 5193213.256363389}"
80,1,28,481.2430775614089,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.7244184465745092, 'ar.L2': -0.5926835031109489, 'sigma2': 4982039.369988183}"
81,1,29,498.479831772121,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.7278284543115139, 'ar.L2': -0.5973165723608154, 'sigma2': 4782916.503941924}"
82,1,30,515.9069070496643,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.7417761287010858, 'ar.L2': -0.5970399451525551, 'sigma2': 4642107.639759258}"
83,1,31,533.9230433929715,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.7508286580737151, 'ar.L2': -0.5765115754301251, 'sigma2': 4631305.737796126}"
84,1,32,554.8887138874276,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.7626754488943641, 'ar.L2': -0.5425215479403579, 'sigma2': 5136067.255004349}"
85,1,33,573.6282254634416,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8046383227001275, 'ar.L2': -0.5451155347064259, 'sigma2': 5214153.377811767}"
86,1,34,592.4155950852677,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8402848981139908, 'ar.L2': -0.5239605820033911, 'sigma2': 5312990.562506636}"
