,WS_ms_Avg,,,,
420,3.945,,,1281,1.373
421,3.333,,,1285,3.989
422,3.916,,,1289,3.926
423,3.979,,,1293,0.333
424,3.727,,,1297,5.509
425,3.573,,,1301,5.186
426,3.918,,,1305,5.397
427,3.811,,,1309,3.927
428,3.317,,,1313,4.21
429,2.24,,,1317,1.196
430,0.84,,,1321,4.081
431,0.272,,,1325,2.567
432,1.798,,,1329,2.754
433,3.182,,,1333,2.637
434,2.63,,,1337,3.268
435,3.967,,,1341,1.517
436,4.504,,,1345,3.771
437,3.482,,,1349,2.247
438,4.151,,,1353,3.104
439,1.938,,,1357,3.249
440,1.82,,,1361,9.18
441,3.01,,,1365,7.865
442,3.194,,,1369,7.084
443,4.188,,,1373,7.258
444,4.888,,,1377,4.601
445,4.858,,,1381,5.361
446,4.817,,,1385,7.098
447,4.577,,,1389,8.39
448,4.001,,,1393,2.762
449,3.05,,,1397,4.82
450,4.697,,,1401,4.638
451,5.081,,,1405,4.509
452,3.034,,,1409,3.774
453,4.35,,,1413,1.161
454,4.773,,,1417,2.344
455,5.722,,,1421,0.55
456,4.469,,,1425,3.416
457,4.78,,,1429,3.617
458,4.487,,,1433,3.064
459,4.273,,,1437,2.937
460,4.651,,,1441,3.531
461,4.749,,,1445,1.709
462,4.535,,,1449,7.125
463,5.05,,,1453,9.71
464,4.948,,,1457,11.39
465,4.712,,,1461,9.2
466,5.353,,,1465,7.94
467,4.759,,,1469,6.079
468,3.357,,,1473,6.684
469,4.116,,,1477,6.708
470,5.312,,,1481,3.773
471,5.681,,,1485,0.166
472,4.152,,,1489,3.465
473,3.321,,,1493,2.614
474,1.916,,,1497,2.037
475,1.884,,,1501,1.581
476,2.561,,,1505,1.775
477,3.731,,,1509,1.174
478,4.985,,,1513,3.308
479,5.713,,,1517,1.69
480,5.415,,,1521,2.873
481,5.1,,,1525,4.729
482,5.042,,,1529,4.625
483,5.123,,,1533,6.722
484,4.76,,,1537,7.715
485,3.926,,,1541,7.695
486,3.206,,,1545,7.049
487,3.201,,,1549,3.94
488,3.386,,,1553,4.084
489,3.12,,,1557,1.752
490,3.621,,,1561,0.996
491,2.883,,,1565,2.248
492,2.678,,,1569,1.845
493,2.795,,,1573,0.64
494,3.407,,,1577,1.428
495,3.336,,,1581,0.648
496,3.439,,,1585,2.014
497,3.78,,,1589,0.731
498,1.266,,,1593,1.006
499,2.966,,,1597,2.6
500,3.128,,,1601,2.014
501,1.655,,,1605,1.89
502,1.124,,,1609,2.404
503,1.181,,,1613,2.165
504,1.595,,,1617,1.033
505,2.458,,,1621,2.335
506,2.71,,,1625,2.965
507,3.324,,,1629,8.74
508,2.849,,,1633,8.88
509,2.588,,,1637,9.96
510,2.009,,,1641,6.699
511,0.558,,,1645,3.398
512,0.408,,,1649,3.515
513,0.08,,,1653,0.601
514,2.08,,,1657,1.233
515,2.503,,,1661,3.762
516,2.35,,,1665,1.865
517,2.843,,,1669,1.361
518,2.634,,,1673,1.018
519,2.509,,,1677,2.745
520,2.288,,,1681,3.617
521,0.821,,,1685,2.227
522,1.275,,,1689,2.38
523,2.506,,,1693,1.868
524,1.58,,,1697,2.887
525,1.822,,,1701,0.418
526,1.572,,,1705,8.97
527,2.418,,,1709,11.17
528,2.033,,,1713,6.858
529,1.235,,,1717,4.767
530,0.879,,,1721,6.342
531,1.638,,,1725,9.25
532,1.826,,,1729,12.35
533,1.394,,,1733,9.61
534,0.977,,,1737,9.35
535,1.405,,,1741,5.341
536,2.143,,,1745,1.765
537,2.209,,,1749,4.551
538,2.459,,,1753,10.73
539,2.884,,,1757,7.563
540,3.532,,,1761,9.03
541,2.85,,,1765,8.47
542,2.059,,,1769,8.88
543,1.307,,,1773,10.76
