,Vapor_Pressure_Avg_2
2737,0.8610651
2741,0.8043301
2745,0.6861761
2749,0.6881613
2753,0.684666
2757,0.7791823
2761,0.8871515
2765,0.8239254
2769,0.748674
2773,0.6156942
2777,0.6752031
2781,0.6868123
2785,0.7398957
2789,0.7417169
2793,0.6695748
2797,0.654783
2801,0.6483787
2805,0.6050256
2809,0.7696511
2813,0.7799094
2817,0.7565387
2821,0.6953777
2825,0.6020223
2829,0.8073843
2833,0.8506802
2837,0.9504756
2841,0.7952051
2845,0.7455555
2849,0.7635601
2853,0.8611851
2857,0.9443008
2861,0.9502094
2865,0.871375
2869,0.8401623
2873,0.7999343
2877,0.8092738
2881,0.8694721
2885,0.9512282
2889,0.7739019
2893,0.7164573
2897,0.6869015
2901,0.8998149
2905,0.9575968
2909,1.077835
2913,0.8856881
2917,0.828774
2921,0.7733669
2925,1.030579
2929,1.092493
2933,1.070704
2937,0.9325103
2941,1.034929
2945,0.9318277
2949,1.037704
2953,1.084017
2957,1.068161
2961,0.8705394
2965,0.6737837
2969,0.690072
2973,0.9790174
2977,1.160814
2981,1.105561
2985,0.8649321
2989,0.7672952
2993,0.706938
2997,0.9908579
3001,1.052802
3005,1.099246
3009,0.9027305
3013,0.7165785
3017,0.6954311
3021,1.233757
3025,1.269163
3029,1.174984
3033,0.990404
3037,0.9714937
3041,0.9278309
3045,1.214506
3049,1.054541
3053,1.056196
3057,0.9110932
3061,0.8921052
3065,0.8821139
3069,1.04616
3073,1.051935
3077,1.0326
3081,1.002095
3085,0.9016693
3089,0.960045
3093,1.148971
3097,1.186604
3101,1.155919
3105,1.058973
3109,0.9913255
3113,1.003813
3117,1.028838
3121,0.9768798
3125,0.9288041
3129,0.8874137
3133,0.9438237
3137,0.7721772
3141,0.8462542
3145,0.8778709
3149,0.8717973
3153,0.8801921
3157,1.01285
3161,1.018529
3165,1.052226
3169,1.064663
3173,1.029837
3177,1.025119
3181,1.017536
3185,1.060865
3189,1.057789
3193,1.11351
3197,1.075443
3201,1.039139
3205,1.08492
3209,1.042613
3213,1.128925
3217,1.145051
3221,1.096197
3225,1.079998
3229,1.092244
3233,1.096941
3237,1.209216
3241,1.269966
3245,1.291637
3249,1.285854
3253,1.261472
3257,1.233783
3261,1.263597
3265,1.266537
3269,1.27123
3273,1.274365
3277,1.157056
3281,1.20347
3285,1.101223
3289,1.274469
3293,1.301114
3297,1.307444
3301,1.265068
3305,1.059911
3309,1.230875
3313,1.296065
3317,1.328833
3321,1.281268
3325,1.339979
3329,1.292403
3333,1.307577
3337,1.303383
3341,1.294219
3345,1.297532
3349,1.320912
3353,1.327798
3357,1.174159
3361,1.167279
3365,1.289206
3369,1.355599
3373,1.394647
3377,1.381139
3381,1.29446
3385,1.146677
3389,1.21953
3393,1.363771
3397,1.362927
3401,1.375769
3405,1.267131
3409,1.229034
3413,1.252028
3417,1.268648
3421,1.400133
3425,1.306649
3429,1.240211
3433,1.205342
3437,1.195414
3441,1.313201
3445,1.273581
3449,1.480094
3453,1.383197
3457,1.343746
3461,1.324933
3465,1.350667
3469,1.376712
3473,1.346327
3477,0.65837
3481,0.6279721
3485,0.6534483
3489,0.7440553
3493,0.9618881
3497,1.021832
3501,0.945376
3505,0.7996221
3509,0.7400532
3513,0.8784236
3517,0.852595
3521,0.8101995
3525,0.7528529
3529,0.7190713
3533,0.7188434
3537,0.7399094
3541,0.9044632
3545,0.8206001
3549,0.6158583
3553,0.4898497
3557,0.431855
3561,0.433039
3565,0.4583911
3569,0.5153043
3573,0.5285526
3577,0.500874
3581,0.5224878
3585,0.6413154
3589,0.7315724
3593,0.7724882
3597,0.7080396
3601,0.6135626
3605,0.651355
3609,0.8886148
3613,1.029389
3617,0.8699423
3621,0.5277614
3625,0.5296531
3629,0.5678806
3633,0.5481596
3637,0.7765606
3641,0.7975983
3645,0.7755696
3649,0.6019532
3653,0.6293298
3657,0.7962284
3661,0.9022042
3665,0.9745686
3669,0.8924209
3673,0.833261
3677,0.9400625
3681,0.973241
3685,1.062236
3689,1.012683
3693,0.9245653
3697,0.8300146
3701,1.034177
3705,0.9925609
3709,1.149212
3713,1.203252
3717,1.136967
3721,1.048213
3725,1.114234
3729,1.116232
3733,1.10149
3737,1.157581
3741,1.314204
3745,1.201725
3749,1.22169
3753,1.039841
3757,1.257157
3761,1.147766
3765,1.08841
3769,1.070961
3773,1.277477
3777,1.359832
3781,1.528333
3785,1.468644
3789,1.41422
3793,1.393089
3797,1.231683
3801,1.329263
3805,1.405811
3809,1.276866
3813,1.28406
3817,1.212082
3821,0.990656
3825,1.096568
3829,0.8713866
3833,1.251803
3837,1.140942
3841,1.100466
3845,1.126298
3849,1.332087
3853,1.108013
3857,1.32501
3861,1.361277
3865,1.380195
3869,1.462498
3873,1.514685
3877,1.383133
3881,1.346362
3885,1.510401
3889,1.470529
3893,1.505847
3897,1.37698
3901,1.426409
3905,1.383079
3909,1.194339
3913,1.020231
3917,0.9979582
3921,1.120987
3925,1.147933
3929,1.317212
3933,1.069588
3937,1.065167
3941,1.143768
3945,1.545425
3949,1.550401
3953,1.581137
3957,1.39979
3961,1.337019
3965,1.346859
3969,1.403922
3973,1.463141
3977,1.487548
3981,1.228041
3985,1.192652
3989,1.255691
3993,1.390755
3997,1.39537
4001,1.469103
4005,1.349961
4009,1.295981
4013,1.395027
4017,1.31475
4021,1.359698
4025,1.394651
4029,1.198989
4033,1.037546
4037,1.166835
4041,1.313745
4045,1.529847
4049,1.481271
4053,1.385569
4057,1.289527
4061,1.327439
4065,1.381254
4069,1.436032
